"Breast Cancer"
"Stage Distribution of SEER Incidence Cases, 2007-2016"

Sex,Race/Ethnicity,Age,"Stage at Diagnosis","Percent of diagnoses"
Female,"All Races (includes Hispanic)","All Ages",Localized,63.9139
Female,"All Races (includes Hispanic)","All Ages",Regional,28.1456
Female,"All Races (includes Hispanic)","All Ages",Distant,5.6323
Female,"All Races (includes Hispanic)","All Ages",Unstaged,2.3081
Female,"All Races (includes Hispanic)","Ages < 50",Localized,55.9694
Female,"All Races (includes Hispanic)","Ages < 50",Regional,37.2684
Female,"All Races (includes Hispanic)","Ages < 50",Distant,5.2003
Female,"All Races (includes Hispanic)","Ages < 50",Unstaged,1.5619
Female,"All Races (includes Hispanic)","Ages 50-64",Localized,63.7589
Female,"All Races (includes Hispanic)","Ages 50-64",Regional,29.1207
Female,"All Races (includes Hispanic)","Ages 50-64",Distant,5.6374
Female,"All Races (includes Hispanic)","Ages 50-64",Unstaged,1.4830
Female,"All Races (includes Hispanic)","Ages 65+",Localized,67.7923
Female,"All Races (includes Hispanic)","Ages 65+",Regional,23.0094
Female,"All Races (includes Hispanic)","Ages 65+",Distant,5.8317
Female,"All Races (includes Hispanic)","Ages 65+",Unstaged,3.3666
Female,"All Races (includes Hispanic)","Ages <15",Localized,-
Female,"All Races (includes Hispanic)","Ages <15",Regional,-
Female,"All Races (includes Hispanic)","Ages <15",Distant,-
Female,"All Races (includes Hispanic)","Ages <15",Unstaged,-
Female,"All Races (includes Hispanic)","Ages 15-39",Localized,47.1831
Female,"All Races (includes Hispanic)","Ages 15-39",Regional,43.7759
Female,"All Races (includes Hispanic)","Ages 15-39",Distant,7.1623
Female,"All Races (includes Hispanic)","Ages 15-39",Unstaged,1.8788
Female,"All Races (includes Hispanic)","Ages 40-64",Localized,62.2324
Female,"All Races (includes Hispanic)","Ages 40-64",Regional,30.9581
Female,"All Races (includes Hispanic)","Ages 40-64",Distant,5.3316
Female,"All Races (includes Hispanic)","Ages 40-64",Unstaged,1.4778
Female,"All Races (includes Hispanic)","Ages 65-74",Localized,69.6652
Female,"All Races (includes Hispanic)","Ages 65-74",Regional,23.3401
Female,"All Races (includes Hispanic)","Ages 65-74",Distant,5.2935
Female,"All Races (includes Hispanic)","Ages 65-74",Unstaged,1.7012
Female,"All Races (includes Hispanic)","Ages 75+",Localized,65.6274
Female,"All Races (includes Hispanic)","Ages 75+",Regional,22.6272
Female,"All Races (includes Hispanic)","Ages 75+",Distant,6.4537
