Notes,Year,Year Code,States,States Code,Count,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,1999,1999,Alabama,1,3036,4430141,68.5,66.1,71,1.2
,1999,1999,Alaska,2,306,624779,49,43.6,54.8,2.8
,1999,1999,Arizona,4,3327,5023823,66.2,64,68.5,1.1
,1999,1999,Arkansas,5,Missing,Missing,Missing,Missing,Missing,Missing
,1999,1999,California,6,22044,33499204,65.8,64.9,66.7,0.4
,1999,1999,Colorado,8,2876,4226018,68.1,65.6,70.6,1.3
,1999,1999,Connecticut,9,2990,3386401,88.3,85.2,91.5,1.6
,1999,1999,Delaware,10,595,774990,76.8,70.7,83.2,3.1
,1999,1999,District of Columbia,11,452,570213,79.3,72.1,86.9,3.7
,1999,1999,Florida,12,13650,15759421,86.6,85.2,88.1,0.7
,1999,1999,Georgia,13,4765,8045965,59.2,57.6,60.9,0.9
,1999,1999,Hawaii,15,880,1210300,72.7,68,77.7,2.5
,1999,1999,Idaho,16,823,1275674,64.5,60.2,69.1,2.2
,1999,1999,Illinois,17,9134,12359020,73.9,72.4,75.4,0.8
,1999,1999,Indiana,18,4399,6044969,72.8,70.6,75,1.1
,1999,1999,Iowa,19,2346,2917634,80.4,77.2,83.7,1.7
,1999,1999,Kansas,20,1988,2678338,74.2,71,77.6,1.7
,1999,1999,Kentucky,21,2928,4018053,72.9,70.3,75.6,1.3
,1999,1999,Louisiana,22,2999,4460811,67.2,64.8,69.7,1.2
,1999,1999,Maine,23,1002,1266808,79.1,74.3,84.1,2.5
,1999,1999,Maryland,24,3937,5254509,74.9,72.6,77.3,1.2
,1999,1999,Massachusetts,25,5286,6317345,83.7,81.4,86,1.2
,1999,1999,Michigan,26,7262,9897116,73.4,71.7,75.1,0.9
,1999,1999,Minnesota,27,3515,4873481,72.1,69.8,74.5,1.2
,1999,1999,Mississippi,28,Missing,Missing,Missing,Missing,Missing,Missing
,1999,1999,Missouri,29,4125,5561948,74.2,71.9,76.5,1.2
,1999,1999,Montana,30,713,897507,79.4,73.7,85.5,3
,1999,1999,Nebraska,31,1262,1704764,74,70,78.2,2.1
,1999,1999,Nevada,32,1011,1934718,52.3,49.1,55.6,1.6
,1999,1999,New Hampshire,33,909,1222014,74.4,69.6,79.4,2.5
,1999,1999,New Jersey,34,6796,8359592,81.3,79.4,83.3,1
,1999,1999,New Mexico,35,1179,1808082,65.2,61.5,69,1.9
,1999,1999,New York,36,14306,18882725,75.8,74.5,77,0.6
,1999,1999,North Carolina,37,5551,7949361,69.8,68,71.7,0.9
,1999,1999,North Dakota,38,480,644259,74.5,68,81.5,3.4
,1999,1999,Ohio,39,8852,11335454,78.1,76.5,79.7,0.8
,1999,1999,Oklahoma,40,2562,3437147,74.5,71.7,77.5,1.5
,1999,1999,Oregon,41,2889,3393941,85.1,82,88.3,1.6
,1999,1999,Pennsylvania,42,10508,12263805,85.7,84.1,87.3,0.8
,1999,1999,Rhode Island,44,843,1040402,81,75.6,86.7,2.8
,1999,1999,South Carolina,45,2866,3974682,72.1,69.5,74.8,1.3
,1999,1999,South Dakota,46,Missing,Missing,Missing,Missing,Missing,Missing
,1999,1999,Tennessee,47,3702,5638706,65.7,63.6,67.8,1.1
,1999,1999,Texas,48,12156,20558220,59.1,58.1,60.2,0.5
,1999,1999,Utah,49,1010,2203482,45.8,43.1,48.8,1.4
,1999,1999,Vermont,50,516,604683,85.3,78.1,93,3.8
,1999,1999,Virginia,51,4815,7000174,68.8,66.9,70.8,1
,1999,1999,Washington,53,4565,5842564,78.1,75.9,80.4,1.2
,1999,1999,West Virginia,54,1440,1811799,79.5,75.4,83.7,2.1
,1999,1999,Wisconsin,55,4110,5332666,77.1,74.7,79.5,1.2
,1999,1999,Wyoming,56,340,491780,69.1,62,76.9,3.7
Total,1999,1999,,,198046,272809488,72.6,72.3,72.9,0.2
,2000,2000,Alabama,1,2996,4452173,67.3,64.9,69.7,1.2
,2000,2000,Alaska,2,361,627963,57.5,51.7,63.7,3
,2000,2000,Arizona,4,3421,5160586,66.3,64.1,68.6,1.1
,2000,2000,Arkansas,5,Missing,Missing,Missing,Missing,Missing,Missing
,2000,2000,California,6,22079,33987977,65,64.1,65.8,0.4
,2000,2000,Colorado,8,2806,4326921,64.8,62.5,67.3,1.2
,2000,2000,Connecticut,9,2900,3411777,85,81.9,88.2,1.6
,2000,2000,Delaware,10,611,786373,77.7,71.7,84.1,3.1
,2000,2000,District of Columbia,11,446,572046,78,70.9,85.5,3.7
,2000,2000,Florida,12,13675,16047515,85.2,83.8,86.7,0.7
,2000,2000,Georgia,13,5069,8227303,61.6,59.9,63.3,0.9
,2000,2000,Hawaii,15,790,1213519,65.1,60.6,69.8,2.3
,2000,2000,Idaho,16,858,1299430,66,61.7,70.6,2.3
,2000,2000,Illinois,17,8894,12434161,71.5,70,73,0.8
,2000,2000,Indiana,18,4245,6091866,69.7,67.6,71.8,1.1
,2000,2000,Iowa,19,2210,2929067,75.5,72.3,78.7,1.6
,2000,2000,Kansas,20,1972,2693681,73.2,70,76.5,1.6
,2000,2000,Kentucky,21,2857,4049021,70.6,68,73.2,1.3
,2000,2000,Louisiana,22,2997,4471885,67,64.6,69.5,1.2
,2000,2000,Maine,23,1090,1277072,85.4,80.4,90.6,2.6
,2000,2000,Maryland,24,3873,5311034,72.9,70.6,75.3,1.2
,2000,2000,Massachusetts,25,5295,6361104,83.2,81,85.5,1.1
,2000,2000,Michigan,26,7352,9952450,73.9,72.2,75.6,0.9
,2000,2000,Minnesota,27,3686,4933692,74.7,72.3,77.2,1.2
,2000,2000,Mississippi,28,Missing,Missing,Missing,Missing,Missing,Missing
,2000,2000,Missouri,29,4145,5607285,73.9,71.7,76.2,1.1
,2000,2000,Montana,30,704,903773,77.9,72.2,83.9,2.9
,2000,2000,Nebraska,31,1276,1713820,74.5,70.4,78.7,2.1
,2000,2000,Nevada,32,1331,2018741,65.9,62.4,69.6,1.8
,2000,2000,New Hampshire,33,983,1239882,79.3,74.4,84.4,2.5
,2000,2000,New Jersey,34,6784,8430621,80.5,78.6,82.4,1
,2000,2000,New Mexico,35,1134,1821204,62.3,58.7,66,1.8
,2000,2000,New York,36,14318,19001780,75.4,74.1,76.6,0.6
,2000,2000,North Carolina,37,5743,8081614,71.1,69.2,72.9,0.9
,2000,2000,North Dakota,38,476,642023,74.1,67.6,81.1,3.4
,2000,2000,Ohio,39,8517,11363543,75,73.4,76.6,0.8
,2000,2000,Oklahoma,40,2522,3454365,73,70.2,75.9,1.5
,2000,2000,Oregon,41,2788,3429708,81.3,78.3,84.4,1.5
,2000,2000,Pennsylvania,42,10166,12284173,82.8,81.2,84.4,0.8
,2000,2000,Rhode Island,44,856,1050268,81.5,76.1,87.2,2.8
,2000,2000,South Carolina,45,2826,4024223,70.2,67.7,72.9,1.3
,2000,2000,South Dakota,46,Missing,Missing,Missing,Missing,Missing,Missing
,2000,2000,Tennessee,47,3830,5703719,67.1,65,69.3,1.1
,2000,2000,Texas,48,12428,20944499,59.3,58.3,60.4,0.5
,2000,2000,Utah,49,1055,2244502,47,44.2,49.9,1.4
,2000,2000,Vermont,50,471,609618,77.3,70.4,84.6,3.6
,2000,2000,Virginia,51,4918,7105817,69.2,67.3,71.2,1
,2000,2000,Washington,53,4482,5910512,75.8,73.6,78.1,1.1
,2000,2000,West Virginia,54,1374,1807021,76,72.1,80.2,2.1
,2000,2000,Wisconsin,55,4171,5373999,77.6,75.3,80,1.2
,2000,2000,Wyoming,56,350,494300,70.8,63.6,78.6,3.8
Total,2000,2000,,,198131,275879626,71.8,71.5,72.1,0.2
,2001,2001,Alabama,1,3121,4467634,69.9,67.4,72.4,1.3
,2001,2001,Alaska,2,341,633714,53.8,48.2,59.8,2.9
,2001,2001,Arizona,4,3500,5273477,66.4,64.2,68.6,1.1
,2001,2001,Arkansas,5,1883,2691571,70,66.8,73.2,1.6
,2001,2001,California,6,22394,34479458,64.9,64.1,65.8,0.4
,2001,2001,Colorado,8,2856,4425687,64.5,62.2,66.9,1.2
,2001,2001,Connecticut,9,3066,3432835,89.3,86.2,92.5,1.6
,2001,2001,Delaware,10,607,795699,76.3,70.3,82.6,3.1
,2001,2001,District of Columbia,11,466,574504,81.1,73.9,88.8,3.8
,2001,2001,Florida,12,13853,16356966,84.7,83.3,86.1,0.7
,2001,2001,Georgia,13,5242,8377038,62.6,60.9,64.3,0.9
,2001,2001,Hawaii,15,921,1225948,75.1,70.4,80.1,2.5
,2001,2001,Idaho,16,850,1319962,64.4,60.1,68.9,2.2
,2001,2001,Illinois,17,9076,12488445,72.7,71.2,74.2,0.8
,2001,2001,Indiana,18,4431,6127760,72.3,70.2,74.5,1.1
,2001,2001,Iowa,19,2319,2931997,79.1,75.9,82.4,1.6
,2001,2001,Kansas,20,2017,2702162,74.6,71.4,78,1.7
,2001,2001,Kentucky,21,2889,4068132,71,68.4,73.7,1.3
,2001,2001,Louisiana,22,2925,4477875,65.3,63,67.7,1.2
,2001,2001,Maine,23,1133,1285692,88.1,83.1,93.4,2.6
