country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,761,817,894,989,1090,1180,1240,1290,1340,1400,1470,1550,1620,1700,1790,1880,1960,2020,2090,2150,2220,2280,2340,2420,2510,2600,2690
Albania,100,103,105,108,111,116,120,126,134,143,150,158,167,179,188,196,203,206,212,214,215,215,215,217,219,221,222
Algeria,701,729,789,852,920,999,1010,1040,1060,1110,1150,1190,1270,1340,1430,1560,1650,1700,1760,1840,1910,1980,2060,2150,2240,2320,2390
Andorra,9.8,10.5,11.1,11.9,12.5,11.9,11.7,11.5,11.4,11.2,11,10.8,10.8,11.1,12.1,12.4,12.8,13.2,13.7,14.3,14.6,14.9,15.2,15.4,15.7,15.9,16
Angola,420,432,445,477,513,538,548,554,603,612,624,646,667,706,741,768,796,814,835,852,867,885,909,939,968,1000,1030
Antigua and Barbuda,5.71,5.8,5.92,6.15,6.41,6.69,6.95,7.08,7.13,7.29,7.64,7.8,7.95,8.02,8.05,8.1,8.22,8.38,8.54,8.67,9,9.28,9.64,9.81,10.4,10.7,10.9
Argentina,4320,4430,4530,4660,4780,4940,5070,5190,5300,5400,5500,5600,5700,5840,5870,5930,5960,6030,5990,6050,6110,6140,6190,6250,6260,6330,6400
Armenia,356,355,394,401,397,427,466,478,507,510,499,504,491,498,491,503,504,493,507,504,503,492,491,467,461,491,488
Australia,2410,2450,2490,2540,2610,2630,2650,2660,2650,2640,2650,2680,2710,2710,2710,2720,2740,2770,2810,2840,2880,2920,2950,2980,3050,3130,3200
Austria,1520,1530,1550,1570,1570,1580,1590,1590,1570,1560,1560,1560,1560,1570,1560,1570,1570,1570,1570,1580,1570,1570,1590,1590,1580,1600,1610
Azerbaijan,336,345,369,383,402,406,412,423,441,453,461,468,482,514,527,545,549,549,566,579,588,587,615,594,603,616,622
Bahamas,26.7,27.6,28.5,29.8,30.5,32.6,32.6,35.7,37.7,36.6,38.5,41.7,44.6,45.9,46.3,49.1,49.9,51.6,54.2,56.3,61.8,64.8,69,71.8,74.2,76.3,79.8
