state,abr,lat,lng,CancerType,incidence,population,percentage_incident,prevalence,alive,year,death_count,prevalence_1_year,percentage_deaths,diff
Alabama,AL,32.6010112,-86.6807365,Female Breast,18227,12434320,0.146586223,"0,15",1865148,2011-2015,3394,"0,150272954",0.027295421,0
Alaska,AK,61.3025006,-158.7750198,Female Breast,2100,1751388,0.119904898,"0,12","210166,56",2011-2015,310,"0,120177254",0.017700247,0
Arizona,AZ,34.1682185,-111.930907,Female Breast,22214,16686987,0.133121695,"0,13","2169308,31",2011-2015,3957,"0,130237112",0.023713089,0
Arkansas,AR,34.7519275,-92.1313784,Female Breast,10399,7527040,0.138155238,"0,14","1053785,6",2011-2015,2050,"0,140272405",0.027235142,0
California,CA,37.2718745,-119.2704153,Female Breast,128452,96473279,0.13314775,"0,13","12541526,27",2011-2015,22033,"0,130228382",0.022838448,0
Colorado,CO,38.9979339,-105.550567,Female Breast,17933,13143731,0.136437668,"0,14","1840122,34",2011-2015,2796,"0,140212699",0.021272499,0
Connecticut,CT,41.5187835,-72.757507,Female Breast,16000,9201326,0.173887981,"0,17","1564225,42",2011-2015,2288,"0,170248614",0.024865981,0
Delaware,DE,39.145251,-75.4189206,Female Breast,3994,2387966,0.167255313,"0,17","405954,22",2011-2015,672,"0,170281319",0.028141104,0
District of C,DC,38.8993487,-77.0145666,Female Breast,2350,1700582,0.138187985,"0,14","238081,48",2011-2015,509,"0,140299027",0.02993093,0
Florida,FL,27.9757279,-83.8330166,Female Breast,77149,50178974,0.153747663,"0,15","7526846,1",2011-2015,14200,"0,150282985",0.028298705,0
Georgia,GA,32.6781248,-83.2229757,Female Breast,34871,25602013,0.136204134,"0,14","3584281,82",2011-2015,6135,"0,140239637",0.023962959,0
Hawaii,HI,20.46,-157.505,Female Breast,5783,3495512,0.165440714,"0,17","594237,04",2011-2015,721,"0,170206253",0.020626449,0
Idaho,ID,45.4945756,-114.1424303,Female Breast,5487,4031377,0.13610734,"0,14","564392,78",2011-2015,941,"0,140233474",0.0233419,0
Indiana,IN,39.7662195,-86.441277,Female Breast,23676,32741282,0.072312379,"0,14","2332489,04",2011-2015,8923,"0,071512533",0.027253056,0
Iowa,IA,41.878,-93.0977,Female Breast,11646,16660636,0.069901293,"0,15","1167977,25",2011-2015,4361,"0,070365741",0.026175471,0
Kansas,KS,38.4987789,-98.3200779,Female Breast,10459,7786515,0.134321966,"0,14","1017345,28",2011-2015,1996,"0,130911069",0.025634061,0
Kentucky,KY,37.8222935,-85.7682399,Female Breast,16853,7266752,0.231919295,"0,15","1674326,55",2011-2015,1806,"0,230657796",0.024852919,0
Louisiana,LA,30.9843',-91.9623,Female Breast,16703,11162177,0.149639268,"0,14","1652936,74",2011-2015,3016,"0,148353946",0.027019819,0
Maine,ME,45.2185133,-69.0148656,Female Breast,5805,11806691,0.049167036,"0,17","576304,25",2011-2015,3256,"0,04908742",0.027577583,0
Maryland,MD,38.8063524,-77.2684162,Female Breast,23620,3390025,0.696750024,"0,15","2291760,45",2011-2015,900,"0,676295898",0.026548477,1
Massachusetts,MA,42.0629398,-71.718067,Female Breast,28737,15278403,0.18808903,"0,17","2935921,08",2011-2015,4112,"0,192430649",0.026913808,0
Michigan,MI,44.9435598,-86.4158049,Female Breast,38069,17270124,0.220432696,"0,15","3777648,75",2011-2015,4183,"0,218981172",0.024221019,0
Minnesota,MN,46.4418595,-93.3655146,Female Breast,20784,25184325,0.082527525,"0,15","2043401,4",2011-2015,7086,"0,081419176",0.028136549,0
Mississippi,MS,32.5851062,-89.8772196,Female Breast,10256,13622676,0.075286236,"0,13","998561,59",2011-2015,3179,"0,073534818",0.023336091,0
Missouri,MO,38.3046615,-92.437099,Female Breast,23876,7681243,0.310835108,"0,16","2463378,88",2011-2015,2137,"0,320978779",0.027821018,0
Montana,MT,46.6797995,-110.044783,Female Breast,3948,15396118,0.025642828,"0,16","403838,56",2011-2015,4366,"0,026513502",0.028357798,0
Nebraska,NE,41.5008195,-99.680902,Female Breast,6710,2523991,0.265848808,"0,14","657219,5",2011-2015,684,"0,2606602",0.027099938,0
Nevada,NV,38.502032,-117.0230604,Female Breast,8619,4694425,0.18360076,"0,12","833265,96",2011-2015,1180,"0,177752547",0.025136199,0
New Hampshire,NH,44.0012306,-71.5799231,Female Breast,6161,6943883,0.088725573,"0,18","602852,04",2011-2015,1735,"0,087067567",0.02498602,0
New Jersey,NJ,40.1430058,-74.7311156,Female Breast,36793,3349178,1.098568067,"0,16","3645207,52",2011-2015,881,"1,088,651,902",0.026304962,1
New Mexico,NM,34.1662325,-106.0260685,Female Breast,7051,22782547,0.03094913,"0,13","683736,56",2011-2015,6616,"0,030301836",0.029039773,0
New York,NY,40.7056258,-73.97968,Female Breast,78826,5259512,1.498732202,"0,16","8098163,36",2011-2015,1214,"1,539,948,383",0.023081989,1
North Carolin,NC,35.2145629,-79.8912675,Female Breast,39269,50613521,0.077585987,"0,16","4043286,08",2011-2015,12987,"0,080142083",0.025659151,0
North Dakota,ND,47.4678819,-100.3022655,Female Breast,2479,25270538,0.009809843,"0,14","247249,24",2011-2015,6564,"0,01004383",0.025974912,0
Ohio,OH,40.1903624,-82.6692525,Female Breast,45913,1766066,2.599732966,"0,16","4729061,92",2011-2015,398,"2,677,963,338",0.022535964,3
Oklahoma,OK,35.3097654,-98.7165585,Female Breast,13335,29556637,0.04511677,"0,14","1359487,08",2011-2015,8883,"0,046296539",0.030054163,0
Oregon,OR,44.1419049,-120.5380993,Female Breast,15350,9710622,0.158074323,"0,15","1491470,85",2011-2015,2682,"0,153867898",0.02761924,0
Pennsylvania,PA,40.9945928,-77.6046984,Female Breast,54672,9943139,0.549846482,"0,17","5551880,74",2011-2015,2618,"0,558626305",0.026329713,0
Rhode Island,RI,41.5827282,-71.5064508,Female Breast,4537,32658122,0.013892409,"0,17","461793,27",2011-2015,10054,"0,014448075",0.030785604,0
South Carolin,SC,33.62505,-80.9470381,Female Breast,19225,2716431,0.707730106,"0,16","1964364,16",2011-2015,688,"0,723394778",0.02532735,1
South Dakota,SD,44.2126995,-100.2471641,Female Breast,3293,12277276,0.026821911,"0,16","335390,4",2011-2015,3404,"0,027595209",0.02772602,0
Tennessee,TN,35.830521,-85.9785989,Female Breast,24490,2096190,1.168310125,"0,15","2497125,9",2011-2015,548,"1,191,530,348",0.026142668,1
Texas,TX,31.1693363,-100.0768425,Female Breast,76287,16647506,0.458248821,"0,11","7346040,68",2011-2015,4565,"0,441543977",0.027421525,0
Utah,UT,39.4997605,-111.547028,Female Breast,7239,66782188,0.010839717,"0,1","721184,5",2011-2015,13837,"0,011006258",0.020719597,0
Vermont,VT,43.8717545,-72.4477828,Female Breast,2698,7211845,0.037410676,"0,17","269888,43",2011-2015,1279,"0,037600226",0.017734713,0
